serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%R091785632N12241049LO,ZTE0QTFQCV23443,SAP File,2025-04-29T05:05:09.243Z,Procedura Check_u0009t,2025-07-02T01:00:11.541Z,8403058498,90780111,B36099684,2025-06-30T12:40:23.069Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785632,2872,095500641,000095500641,MATCH REGMAN OK,,,F01B2422600A,,,ROUTER LIBERO,TIM HUB Pro ZTE,DELIVERY,NO,OK,240.00,000000,Digitato,B,2025-06-30T14:27:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C5P,ZTEEGANR1D03124,SAP File,2025-04-10T05:04:22.558Z,X1015748,2025-07-01T07:44:00.387Z,8403046065,90865068,B36178579,2025-06-30T10:10:19.985Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785631,2872,0957809189,000957809189,MATCH REGMAN OK,,TLC20SF001,DC5193BAFE6C,,,ROUTER LIBERO,nuovo modem XDSL ZTE,DELIVERY,NO,KO,,"INST01,TLC3,TLC6,781093",Digitato,R,2025-06-30T10:20:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90865068,000957809189,2025-06-30T09:53:24.000Z,MATCH COLLAUDO_ONE OK,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C4G,ZTEEGANR1D03079,SAP File,2025-04-10T05:04:21.766Z,X1015748,2025-06-30T08:21:20.687Z,8403046065,90569792,B35904020,2025-06-27T11:20:03.603Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785631,2872,0957211149,000957211149,MATCH REGMAN OK,,TLC1805DEC,DC5193BAFDB8,,,ROUTER LIBERO,nuovo modem XDSL ZTE,DELIVERY,NO,OK,196.72,000000,Digitato,R,2025-06-27T13:16:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90569792,000957211149,2025-06-27T13:14:41.000Z,MATCH COLLAUDO_ONE OK,,2025-06-30T08:21:20.488Z,X1015748,,,,,
%R091785632N1024102SS5,ZTE0QTFQA503391,SAP File,2025-02-08T06:10:41.334Z,X1015748,2025-07-01T07:44:00.504Z,8402993302,90727503,B36055676,2025-06-30T14:25:13.322Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785632,2872,0906017340,000906017340,MATCH REGMAN OK,,TLC20SF001,C04943FCF93E,,,ROUTER LIBERO,TIM HUB Pro ZTE,DELIVERY,NO,KO,,"INST01,TLC3,TLC6,785632",Scansionato,R,2025-06-30T16:12:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90727503,000906017340,2025-06-30T13:08:30.000Z,MATCH COLLAUDO_ONE OK,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C4K,ZTEEGANR1D03083,SAP File,2025-04-10T05:04:21.997Z,REST_2872,2025-07-03T10:10:05.553Z,8403046065,90909113,B36221224,2025-07-03T10:10:05.531Z,REST_2872,UM per Vendita,MATCH TELEFONICO REGMAN KO,Da Esaminare,true,IMSUS014,785631,2872,0957714150,000958038581,MATCH REGMAN KO,,TLC20SF001,DC5193BAFDC8,,,NMU OK,nuovo modem XDSL ZTE,DELIVERY,NO,,,"555553,555551,555554,781093,555552,555550,784010",Digitato,R,2025-07-03T12:01:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101782509N0923203473,N723256AW003383,SAP File,2024-05-29T05:11:11.783Z,14020289,2024-11-14T15:49:11.587Z,8402784775,78848515,B25174271,2024-10-18T15:00:41.989Z,X1015748,UM per Comodato d'Uso,MATCH TELEFONICO REGMAN KO,Da Esaminare,true,IMSUS014,782509,2872,095536699,,MATCH REGMAN KO,,,6C99613C8E77,ZTE9GA9N9C05132,,NMU OK,Modem 10 Gb nuovo Chipset Wi-Fi,DELIVERY,NO,,,782441,DaLista,B,2024-06-07T14:30:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2024-06-10T08:13:24.374Z,X1015748,,,,,
%3S55777277N08213T181Q,CP2126RA33L,SAP File,2021-11-11T05:46:26.483Z,X1013719,2023-04-05T11:04:11.290Z,8402069360,49667735,A98127812,2022-03-10T09:14:29.729Z,n.gaglio,UM per Comodato d'Uso,GUASTO AL PRIMO UTILIZZO,Da Esaminare,true,IMSUS014,777277,2872,09049017,000009057503,MATCH REGMAN KO,,N/A,D4351D8FD307,,,NMU OK,TIM HUB  Technicolor,DELIVERY,NO,,,773371,DaLista,R,2021-12-28T04:31:00.000Z,AOA.SUD,N/A,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,1,,,,
%3S55773371N1018300VL1,,REST_336914,2020-05-13T17:06:47.866Z,X1013719,2024-02-22T17:48:38.800Z,8401268861,26140088,A78857337,2020-05-13T17:06:47.866Z,REST_336914,UM per Vendita,SN ATTRIBUITO AD ALTRA IMPRESA,Da Esaminare,true,IMSUS014,773371,332231,087492346,,NO DISCOVERATO SU REGMAN,,,,,,,,DELIVERY,,,,,,R,2020-04-28T00:00:00.000Z,AOA.CE,,332231,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH3,622352002581,SAP File,2025-07-02T04:58:12.215Z,SAP File,2025-07-02T04:58:12.215Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA80,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH2,622352067524,SAP File,2025-07-02T04:58:12.164Z,SAP File,2025-07-02T04:58:12.164Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA67,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH1,622362188447,SAP File,2025-07-02T04:58:12.110Z,SAP File,2025-07-02T04:58:12.110Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA15,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH0,622362187546,SAP File,2025-07-02T04:58:12.051Z,SAP File,2025-07-02T04:58:12.051Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D917,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGZ,622362188403,SAP File,2025-07-02T04:58:11.996Z,SAP File,2025-07-02T04:58:11.996Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA3E,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGY,622362187977,SAP File,2025-07-02T04:58:11.944Z,SAP File,2025-07-02T04:58:11.944Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA4D,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGV,622352012938,SAP File,2025-07-02T04:58:11.893Z,SAP File,2025-07-02T04:58:11.893Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9FB,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGU,622362188390,SAP File,2025-07-02T04:58:11.723Z,SAP File,2025-07-02T04:58:11.723Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9E5,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGT,622352007542,SAP File,2025-07-02T04:58:11.671Z,SAP File,2025-07-02T04:58:11.671Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9E8,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGS,622352014092,SAP File,2025-07-02T04:58:11.619Z,SAP File,2025-07-02T04:58:11.619Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9C0,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGR,622362188265,SAP File,2025-07-02T04:58:11.565Z,SAP File,2025-07-02T04:58:11.565Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9C3,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGQ,622352013395,SAP File,2025-07-02T04:58:11.513Z,SAP File,2025-07-02T04:58:11.513Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D9BD,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGO,622352004758,SAP File,2025-07-02T04:58:11.465Z,SAP File,2025-07-02T04:58:11.465Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D994,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGN,622362188992,SAP File,2025-07-02T04:58:11.418Z,SAP File,2025-07-02T04:58:11.418Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D981,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGM,622352005875,SAP File,2025-07-02T04:58:11.363Z,SAP File,2025-07-02T04:58:11.363Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D97E,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGL,622352066178,SAP File,2025-07-02T04:58:11.314Z,SAP File,2025-07-02T04:58:11.314Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D973,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGK,622362188061,SAP File,2025-07-02T04:58:11.263Z,SAP File,2025-07-02T04:58:11.263Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D964,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGJ,622362187897,SAP File,2025-07-02T04:58:11.212Z,SAP File,2025-07-02T04:58:11.212Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D961,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGI,622352014309,SAP File,2025-07-02T04:58:11.163Z,SAP File,2025-07-02T04:58:11.163Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D95E,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGH,622352079513,SAP File,2025-07-02T04:58:11.106Z,SAP File,2025-07-02T04:58:11.106Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D944,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGG,622362185664,SAP File,2025-07-02T04:58:11.057Z,SAP File,2025-07-02T04:58:11.057Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D92A,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGE,622362188210,SAP File,2025-07-02T04:58:11.011Z,SAP File,2025-07-02T04:58:11.011Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D910,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGD,622362188970,SAP File,2025-07-02T04:58:10.959Z,SAP File,2025-07-02T04:58:10.959Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D909,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGB,622362187739,SAP File,2025-07-02T04:58:10.910Z,SAP File,2025-07-02T04:58:10.910Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D8CC,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKGA,622362187911,SAP File,2025-07-02T04:58:10.863Z,SAP File,2025-07-02T04:58:10.863Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D8EE,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG6,622362187637,SAP File,2025-07-02T04:58:10.809Z,SAP File,2025-07-02T04:58:10.809Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D877,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG5,622352065584,SAP File,2025-07-02T04:58:10.758Z,SAP File,2025-07-02T04:58:10.758Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D854,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG4,622352018743,SAP File,2025-07-02T04:58:10.710Z,SAP File,2025-07-02T04:58:10.710Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D845,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG3,622352014718,SAP File,2025-07-02T04:58:10.661Z,SAP File,2025-07-02T04:58:10.661Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D837,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG2,622352000494,SAP File,2025-07-02T04:58:10.614Z,SAP File,2025-07-02T04:58:10.614Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D83A,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG1,622352013135,SAP File,2025-07-02T04:58:10.562Z,SAP File,2025-07-02T04:58:10.562Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D830,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKG0,622352004894,SAP File,2025-07-02T04:58:10.508Z,SAP File,2025-07-02T04:58:10.508Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D821,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFZ,622362189008,SAP File,2025-07-02T04:58:10.462Z,SAP File,2025-07-02T04:58:10.462Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D802,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFY,622362188072,SAP File,2025-07-02T04:58:10.411Z,SAP File,2025-07-02T04:58:10.411Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D7EF,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFX,622352005502,SAP File,2025-07-02T04:58:10.357Z,SAP File,2025-07-02T04:58:10.357Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D7DC,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFW,622352014047,SAP File,2025-07-02T04:58:10.310Z,SAP File,2025-07-02T04:58:10.310Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D6B4,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFV,622352002752,SAP File,2025-07-02T04:58:10.255Z,SAP File,2025-07-02T04:58:10.255Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D7C5,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFU,622362185313,SAP File,2025-07-02T04:58:10.202Z,SAP File,2025-07-02T04:58:10.202Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D7B2,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFT,622352007188,SAP File,2025-07-02T04:58:10.153Z,SAP File,2025-07-02T04:58:10.153Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D0AD,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFS,622352005159,SAP File,2025-07-02T04:58:10.101Z,SAP File,2025-07-02T04:58:10.101Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D79F,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFR,622352066827,SAP File,2025-07-02T04:58:10.050Z,SAP File,2025-07-02T04:58:10.050Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D79C,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFQ,622362189188,SAP File,2025-07-02T04:58:09.997Z,SAP File,2025-07-02T04:58:09.997Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D78E,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFP,622352066747,SAP File,2025-07-02T04:58:09.944Z,SAP File,2025-07-02T04:58:09.944Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D795,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFO,622352013884,SAP File,2025-07-02T04:58:09.856Z,SAP File,2025-07-02T04:58:09.856Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D783,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFN,622352014832,SAP File,2025-07-02T04:58:09.805Z,SAP File,2025-07-02T04:58:09.805Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D74A,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFM,622352015062,SAP File,2025-07-02T04:58:09.759Z,SAP File,2025-07-02T04:58:09.759Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D704,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFL,622352066758,SAP File,2025-07-02T04:58:09.710Z,SAP File,2025-07-02T04:58:09.710Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D72C,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFK,622362185153,SAP File,2025-07-02T04:58:09.660Z,SAP File,2025-07-02T04:58:09.660Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D764,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFJ,622362187342,SAP File,2025-07-02T04:58:09.608Z,SAP File,2025-07-02T04:58:09.608Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D755,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFI,622352065700,SAP File,2025-07-02T04:58:09.560Z,SAP File,2025-07-02T04:58:09.560Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D721,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKFH,622352000483,SAP File,2025-07-02T04:58:09.504Z,SAP File,2025-07-02T04:58:09.504Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204D733,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
